Context,selfish,generous,tradition,rewardLBonly,rewardLDonly,rewardRSonly,rewardLB_LD,rewardLB_RS,rewardLD_RS,rewardALL,random
ALLEQL,"0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.33333,0.33333,0.33333"
LBLES,"0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.33333,0.33333,0.33333"
LBMOR,"0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.33333,0.33333,0.33333"
LDLES,"0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.33333,0.33333,0.33333"
LDMOR,"0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.86667,0.06667,0.06667","0.33333,0.33333,0.33333"
RSLES,"0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.33333,0.33333,0.33333"
RSMOR,"0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.86667,0.06667,0.06667","0.86667,0.06667,0.06667","0.33333,0.33333,0.33333"
LBLES_LDLES,"0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.06667,0.06667,0.86667","0.33333,0.33333,0.33333"
LBLES_LDMOR,"0.86667,0.06667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.06667,0.06667,0.86667","0.86667,0.06667,0.06667","0.06667,0.86667,0.06667","0.33333,0.33333,0.33333"
LBMOR_LDLES,"0.86667,0.06667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.06667,0.86667,0.06667","0.86667,0.06667,0.06667","0.06667,0.06667,0.86667","0.06667,0.86667,0.06667","0.33333,0.33333,0.33333"
