id,Land,kinship,context,HV,response
SB69419,LD574497&LD626200,0,LBLES,HVLOT,CFP
SB69419,LD626200,,LBLES_LDLES,HVLOT,CFP
SB69419,LD953681,0,LBMOR_LDLES,HVFEW,CFP
SB69419,LD567255,0,LBMOR_LDLES,HVLOT,CFP
SB14882,LD750314&LD486629,0,LBLES_LDLES,HVLOT,CFP
SB14882,LD750314&LD486629-H1,,LBMOR_LDLES,HVLOT,HD
SB14882,LD403046,0,LBMOR_LDLES,HVFEW,HD 
SB39753,LD486696&LD756102,0.5_0.5,LBMOR_LDMOR,HVLOT,HD
SB28915,LD858077,1.6E-2,LDLES_RSMOR,HVLOT,HD
SB28915,LD818542,0.25,LBLES_LDLES,HVFEW,CFP
SB58071,LD371539&LD888192,0.5,LDMOR_NDLES,HVFEW,HD
SB99019,LD818542,0.25,LBMOR_LDMOR_NDMOR,HVFEW,HD
SB99019,LD914935,0.5_0.125,LBLES_LDLES_RSLES,HVFEW,HD
SB59034,LD732183&LD364017,0.5,LBLES_LDLES,HVFEW,HD
SB76769,LD601856,0.5_0.03125,LBLES_LDMOR,HVFEW,HD
SB18239,LD569922,0.25,LBLES_LDMOR,HVLOT,HD
SB18239,LD639793,0.5,LBMOR_LDMOR,HVLOT,HD
SB53297,LD364073&LD626309,0.5,LBMOR,HVLOT,HD
SB53297,LD347624,0.5,LDMOR,HVLOT,HD
SB80864,LD839647,0,LBMOR_LDMOR,HVFEW,HD
SB74674,LD873485,0.25_0.5_0.5,LBLES_LDMOR,HVLOT,HD
SB74674,LD165785,0.5_0_0,LBMOR_LDMOR_NDLES,HVLOT,HD
SB74674,LD987321,0.5_0.5_0,LBLES_LDMOR_RSLES,HVFEW,HD
SB74674,LD987321-H1,,LBLES_LDMOR_RSLES,HVLOT,CFP
SB74674,LD987321-H2,,LBLES_LDMOR_RSMOR,HVLOT,CFP
SB43808,LD878224,,LBMOR_RSLES,HVLOT,SBJ
SB93890,LD943528,0,LDLES,HVFEW,HD
SB93890,LD943528-H1,,LDLES,HVLOT,CFP
SB93890,LD585506,0,RSMOR,HVFEW,HD
SB98529,LD517468-H1,,LBMOR_LDMOR,HVFEW,HD
SB31047,LD364017,0.5,LDMOR_NDLES,HVFEW,CFP
SB31047,LD914935,0.125_0,LDLES_RSMOR,HVFEW,HD
SB13797,LD561510,0.5_0.5,LBLES_NDLES,HVLOT,HD
